sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Neumarkt-Parsberg,Bayern,0.63536780234,876 T. €,292.0,292 T. €,2 Mrd. €,540,540.0,3
Sparkasse Neu-Ulm - Illertissen,Bayern,0.5516007959,876 T. €,292.0,292 T. €,"1,9 Mrd. €",525,525.0,3
Sparkasse Bad Tölz-Wolfratshausen,Bayern,0.5946267712,888 T. €,296.0,296 T. €,"2,1 Mrd. €",491,491.0,3
Sparkasse Südholstein,Schleswig-Holstein,1.4732214494,903 T. €,387.55364806866953,"387,6 T. €",5 Mrd. €,1052,1052.0,"2,33"
Sparkasse Minden-Lübbecke,Nordrhein-Westfalen,0.692419742,906 T. €,302.0,302 T. €,"2,3 Mrd. €",679,679.0,3
Kreissparkasse Saarlouis,Saarland,0.9835486722,915 T. €,305.0,305 T. €,"3,6 Mrd. €",769,769.0,3
Vereinigte Sparkassen Stadt- und Landkreis Ansbach,Bayern,0.82861757729,920 T. €,306.6666666666667,"306,7 T. €","2,9 Mrd. €",708,708.0,3
Sparkasse Schwäbisch Hall Crailsheim,Baden-Württemberg,0.8254863453,921 T. €,307.0,307 T. €,"3,1 Mrd. €",576,576.0,3
Sparkasse Göttingen,Niedersachsen,0.762504386,925 T. €,308.3333333333333,"308,3 T. €","2,7 Mrd. €",730,730.0,3
Sparkasse Meißen,Sachsen,0.6432656662,932 T. €,372.8,"372,8 T. €","2,5 Mrd. €",441,441.0,"2,5"
Sparkasse Vorpommern,Mecklenburg-Vorpommern,0.8704397805,935 T. €,311.6666666666667,"311,7 T. €","3,2 Mrd. €",770,770.0,3
Sparkasse Marburg-Biedenkopf,Hessen,0.9536108948,945 T. €,315.0,315 T. €,"3,2 Mrd. €",916,916.0,3
Sparkasse Coburg-Lichtenfels,Bayern,0.6628985131,950 T. €,316.6666666666667,"316,7 T. €","2,4 Mrd. €",657,657.0,3
Taunus Sparkasse,Hessen,1.28345,957 T. €,395.4545454545455,"395,5 T. €","4,4 Mrd. €",851,851.0,"2,42"
