,sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,anzahl_vorstaende_2014
316,Sparkasse Westholstein,Schleswig-Holstein,9099278694.0,1134000.0,378000.0,"3,3 Mrd. €",708.0,3.0
317,Sparkasse Vorpommern,Mecklenburg-Vorpommern,8704397805.0,935000.0,311666.6666666667,"3,2 Mrd. €",770.0,3.0
318,Sparkasse Gelsenkirchen,Nordrhein-Westfalen,9149445392.0,637000.0,318500.0,"3,1 Mrd. €",820.0,2.0
319,Sparkasse Hilden Ratingen Velbert,Nordrhein-Westfalen,9136011831.0,1268100.0,422700.0,"3,3 Mrd. €",789.0,3.0
320,Sparkasse Zollernalb,Baden-Württemberg,9016381607.0,682000.0,341000.0,"3,2 Mrd. €",804.0,2.0
321,Sparkasse Fürstenfeldbruck,Bayern,9941456375.0,1047000.0,349000.0,"3,3 Mrd. €",812.0,3.0
322,Sparkasse Marburg-Biedenkopf,Hessen,9536108948.0,945000.0,315000.0,"3,2 Mrd. €",916.0,3.0
323,Sparkasse Düren,Nordrhein-Westfalen,9541624384.0,1093000.0,364333.3333333333,"3,4 Mrd. €",813.0,3.0
324,Kreissparkasse Steinfurt,Nordrhein-Westfalen,9399790296.0,1336000.0,334000.0,"3,4 Mrd. €",910.0,4.0
326,Sparkasse Landshut,Bayern,9522736939.0,1081000.0,360333.3333333333,"3,5 Mrd. €",863.0,3.0
327,Sparkasse Langen-Seligenstadt,Hessen,9437302120.0,817000.0,408500.0,"3,2 Mrd. €",740.0,2.0
329,Sparkasse Mittelfranken-Süd,Bayern,9208546425.0,1094000.0,364666.6666666667,"3,5 Mrd. €",923.0,3.0
330,Sparkasse Hochfranken,Bayern,10054431434.0,1144000.0,381333.3333333333,"3,5 Mrd. €",940.0,3.0
331,Kreissparkasse Saarlouis,Saarland,9835486722.0,915000.0,305000.0,"3,6 Mrd. €",769.0,3.0
332,Sparkasse Bamberg,Bayern,9256449138.0,986000.0,358545.45454545453,"3,5 Mrd. €",969.0,2.75
333,Sparkasse Fulda,Hessen,10106091351.0,828000.0,276000.0,"3,5 Mrd. €",837.0,3.0
334,Sparkasse Niederbayern-Mitte,Bayern,10207118769.0,1106000.0,368666.6666666667,"3,8 Mrd. €",827.0,3.0
337,Sparkasse Ingolstadt,Bayern,11637384427.0,1127000.0,375666.6666666667,"3,8 Mrd. €",787.0,3.0
340,Sparkasse Kraichgau,Baden-Württemberg,10433429887.0,973000.0,324333.3333333333,"3,9 Mrd. €",768.0,3.0
341,Sparkasse Memmingen-Lindau-Mindelheim,Bayern,10634690214.0,1001000.0,333666.6666666667,"3,7 Mrd. €",837.0,3.0
343,Sparkasse Mittelthüringen,Thüringen,11139039400.0,1099000.0,366333.3333333333,"3,9 Mrd. €",893.0,3.0
344,Sparkasse Regensburg,Bayern,11774737792.0,973000.0,324333.3333333333,4 Mrd. €,856.0,3.0
345,Sparkasse Aschaffenburg-Alzenau,Bayern,10828795997.0,962000.0,320666.6666666667,"3,9 Mrd. €",941.0,3.0
347,Sparkasse Offenburg/Ortenau,Baden-Württemberg,10996122614.0,1024000.0,341333.3333333333,4 Mrd. €,870.0,3.0
349,Sparkasse Bodensee,Baden-Württemberg,11566752083.0,1118000.0,372666.6666666667,"4,1 Mrd. €",901.0,3.0
350,Sparkasse Allgäu,Bayern,11836326934.0,994000.0,331333.3333333333,"4,2 Mrd. €",1079.0,3.0
351,Sparkasse Hildesheim,Niedersachsen,11856920945.0,805000.0,268333.3333333333,"3,9 Mrd. €",1085.0,3.0
352,Erzgebirgssparkasse,Sachsen,11079134480.0,1349000.0,449666.6666666667,"4,2 Mrd. €",1091.0,3.0
353,Stadt- und Kreissparkasse Darmstadt,Hessen,12553698216.0,1267000.0,422333.3333333333,"4,1 Mrd. €",856.0,3.0
354,Sparkasse Rosenheim-Bad Aibling,Bayern,12641738159.0,1060000.0,398496.24060150376,"4,5 Mrd. €",974.0,2.66
355,Taunus Sparkasse,Hessen,12834500000.0,957000.0,395454.54545454547,"4,4 Mrd. €",851.0,2.42
356,Stadt- und Kreissparkasse Erlangen,Bayern,11934586320.0,1016000.0,369454.54545454547,"4,2 Mrd. €",918.0,2.75
357,Sparkasse Hanau,Hessen,12378997089.0,1067000.0,355666.6666666667,"4,3 Mrd. €",689.0,3.0
358,Stadtsparkasse Mönchengladbach,Nordrhein-Westfalen,13080200174.0,1954306.0,390861.2,"4,6 Mrd. €",964.0,5.0
359,Sparkasse Herford,Nordrhein-Westfalen,12972289557.0,1270000.0,423333.3333333333,"4,4 Mrd. €",1089.0,3.0
361,Kreissparkasse Ostalb,Baden-Württemberg,13022030002.0,1058000.0,352666.6666666667,"4,7 Mrd. €",1068.0,3.0
362,Sparkasse Oberhessen,Hessen,12895025455.0,1106000.0,368666.6666666667,"4,4 Mrd. €",1042.0,3.0
363,Kreissparkasse Reutlingen,Baden-Württemberg,12437451261.0,988000.0,329333.3333333333,"4,7 Mrd. €",1017.0,3.0
364,Kreissparkasse Tübingen,Baden-Württemberg,12612693772.0,1043000.0,347666.6666666667,"4,8 Mrd. €",985.0,3.0
365,Kreissparkasse Göppingen,Baden-Württemberg,14270521701.0,1029000.0,343000.0,"5,1 Mrd. €",1176.0,3.0
366,Kasseler Sparkasse,Hessen,14430817296.0,1240000.0,310000.0,"5,2 Mrd. €",1170.0,4.0
367,Sparkasse Rhein Neckar Nord,Baden-Württemberg,12073845396.0,1649000.0,471142.85714285716,"4,6 Mrd. €",941.0,3.5
368,Sparkasse Südholstein,Schleswig-Holstein,14732214494.0,903000.0,387553.64806866954,5 Mrd. €,1052.0,2.33
369,Stadtsparkasse Augsburg,Bayern,15659339028.0,1248000.0,416000.0,"5,4 Mrd. €",1343.0,3.0
370,Sparkasse Ulm,Baden-Württemberg,16145199062.0,1098000.0,366000.0,"5,6 Mrd. €",1264.0,3.0
373,Sparkasse Duisburg,Nordrhein-Westfalen,15249140971.0,2047000.0,409400.0,"5,4 Mrd. €",1430.0,5.0
374,Sparkasse Bielefeld,Nordrhein-Westfalen,16429114882.0,1337000.0,445666.6666666667,"5,8 Mrd. €",1430.0,3.0
375,Sparkasse Osnabrück,Niedersachsen,16704925008.0,1006000.0,335333.3333333333,"5,8 Mrd. €",1295.0,3.0
376,Sparkasse Vest Recklinghausen,Nordrhein-Westfalen,16055950030.0,1597000.0,342703.86266094417,"5,7 Mrd. €",1356.0,4.66
377,Sparkasse Bochum,Nordrhein-Westfalen,16986081829.03,1513000.0,504333.3333333333,"5,9 Mrd. €",1219.0,3.0
379,Sparkasse Vorderpfalz,Rheinland-Pfalz,15824203628.0,2378000.0,396333.3333333333,"5,7 Mrd. €",1112.0,6.0
380,Sparkasse Neuss,Nordrhein-Westfalen,17722486205.0,1515800.0,378950.0,"6,3 Mrd. €",1301.0,4.0
382,Förde Sparkasse,Schleswig-Holstein,17359906425.0,1816000.0,454000.0,"6,5 Mrd. €",1417.0,4.0
383,Sparkasse Westmünsterland,Nordrhein-Westfalen,17797937923.0,1787800.0,446950.0,"6,4 Mrd. €",1463.0,4.0
384,Sparkasse Saarbrücken,Saarland,17576742084.0,1198000.0,299500.0,"6,8 Mrd. €",1283.0,4.0
385,Sparkasse Paderborn-Detmold,Nordrhein-Westfalen,18131573051.0,1765000.0,441250.0,"6,5 Mrd. €",1546.0,4.0
387,Stadtsparkasse Wuppertal,Nordrhein-Westfalen,19660949323.0,1557000.0,778500.0,"6,9 Mrd. €",1384.0,2.0
388,Sparkasse Karlsruhe Ettlingen,Baden-Württemberg,20860387954.0,1491000.0,372750.0,"7,2 Mrd. €",1614.0,4.0
390,Sparkasse Mainfranken Würzburg,Bayern,21809455971.0,1505000.0,376250.0,"7,2 Mrd. €",1803.0,4.0
393,Sparkasse Essen,Nordrhein-Westfalen,21855912258.0,2086900.0,521725.0,8 Mrd. €,1627.0,4.0
394,Stadtsparkasse Dortmund,Nordrhein-Westfalen,23321649049.0,1988000.0,497000.0,"8,3 Mrd. €",1823.0,4.0
395,Sparkasse Krefeld,Nordrhein-Westfalen,22819932330.92,1349040.05,449680.01666666666,"8,2 Mrd. €",1819.0,3.0
397,Landessparkasse zu Oldenburg,Niedersachsen,23625400000.0,1647000.0,411750.0,"8,4 Mrd. €",1677.0,4.0
398,Sparkasse Münsterland Ost,Nordrhein-Westfalen,24040400000.0,2224000.0,556000.0,"8,8 Mrd. €",1437.0,4.0
399,Stadt- und Kreissparkasse Leipzig,Sachsen,23401568413.98,1627000.0,542333.3333333334,"8,8 Mrd. €",1663.0,3.0
400,Kreissparkasse Ludwigsburg,Baden-Württemberg,26445414401.1,1607000.0,535666.6666666666,"9,8 Mrd. €",1802.0,3.0
401,Kreissparkasse München Starnberg Ebersberg,Bayern,28139300000.0,1938000.0,484500.0,"10,2 Mrd. €",1801.0,4.0
402,Sparkasse Aachen,Nordrhein-Westfalen,31178573000.2,2724000.0,544800.0,10 Mrd. €,2071.0,5.0
403,Sparkasse Nürnberg,Bayern,30578534734.7,1700000.0,425000.0,"10,3 Mrd. €",2211.0,4.0
404,Mittelbrandenburgische Sparkasse in Potsdam,Brandenburg,28961519726.98,1560000.0,390000.0,11 Mrd. €,1683.0,4.0
406,Nassauische Sparkasse,Hessen,33370751680.9,1847000.0,461750.0,"10,8 Mrd. €",1901.0,4.0
407,Die Sparkasse Bremen AG,Bremen,30945752386.24,2400000.0,600000.0,11 Mrd. €,1537.0,4.0
408,Stadtsparkasse Düsseldorf,Nordrhein-Westfalen,32064385362.73,1909231.95,477307.9875,"11,5 Mrd. €",2268.0,4.0
409,Ostsächsische Sparkasse Dresden,Sachsen,32078108515.0,1606000.0,535333.3333333334,"11,9 Mrd. €",1799.0,3.0
410,Sparkasse Hannover,Niedersachsen,40034857866.0,2246000.0,623888.8888888889,"13,6 Mrd. €",2255.0,3.6
411,Stadtsparkasse München,Bayern,46918148000.0,2451000.0,490200.0,"16,4 Mrd. €",2.742,5.0
413,Kreissparkasse Köln,Nordrhein-Westfalen,65876078123.0,3521400.0,704280.0,"23,1 Mrd. €",4512.0,5.0
414,Sparkasse KölnBonn,Nordrhein-Westfalen,75432760592.5,2563800.0,512760.0,"27,4 Mrd. €",4536.0,5.0
