,sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,anzahl_vorstaende_2014
58,Sparkasse Meschede,Nordrhein-Westfalen,1597472260.0,491000.0,245500.0,"606,8 Mio. €",151.0,2.0
61,Sparkasse Sonneberg,Thüringen,1744554300.0,368000.0,184000.0,"614,6 Mio. €",216.0,2.0
62,Stadtsparkasse Wermelskirchen,Nordrhein-Westfalen,1705106220.0,574600.0,287300.0,"640,6 Mio. €",147.0,2.0
64,Stadtsparkasse Werne,Nordrhein-Westfalen,1545277750.0,576000.0,288000.0,"595,9 Mio. €",131.0,2.0
67,Sparkasse Hennstedt-Wesselburen,Schleswig-Holstein,1649598730.0,380000.0,126666.66666666667,"671,5 Mio. €",173.0,3.0
68,Stadtsparkasse Schwerte,Nordrhein-Westfalen,1803930090.0,538000.0,269000.0,"661,2 Mio. €",171.0,2.0
69,Sparkasse Kierspe-Meinerzhagen,Nordrhein-Westfalen,1875527170.0,597000.0,298500.0,"672,6 Mio. €",146.0,2.0
70,Stadt-Sparkasse Haan,Nordrhein-Westfalen,1783597810.0,491095.0,245547.5,673 Mio. €,131.0,2.0
71,Sparkasse Ennepetal-Breckerfeld,Nordrhein-Westfalen,1974751030.0,404200.0,202100.0,"704,5 Mio. €",145.0,2.0
73,Sparkasse Pfullendorf-Messkirch,Baden-Württemberg,1862881890.0,424000.0,212000.0,"709,2 Mio. €",152.0,2.0
74,Sparkasse Werl,Nordrhein-Westfalen,2008616630.0,579000.0,289500.0,742 Mio. €,167.0,2.0
75,Sparkasse Freyung-Grafenau,Bayern,1888051022.0,422000.0,211000.0,"702,7 Mio. €",225.0,2.0
76,Vereinigte Sparkassen Gunzenhausen,Bayern,1993642064.0,448000.0,224000.0,"754,1 Mio. €",191.0,2.0
77,Stadtsparkasse Bad Oeynhausen,Nordrhein-Westfalen,1968358420.0,571000.0,285500.0,739 Mio. €,208.0,2.0
78,Bordesholmer Sparkasse AG,Schleswig-Holstein,2012446320.0,492000.0,246000.0,"713,1 Mio. €",155.0,2.0
79,Stadtsparkasse Dessau,Sachsen-Anhalt,1976488900.0,458000.0,229000.0,"723,8 Mio. €",194.0,2.0
80,Kreissparkasse Schongau,Bayern,2105262187.0,603000.0,207931.03448275864,"763,8 Mio. €",213.0,2.9
81,Stadtsparkasse Gladbeck,Nordrhein-Westfalen,2087381420.0,512000.0,256000.0,"744,9 Mio. €",211.0,2.0
85,Sparkasse der Homburgischen Gemeinden,Nordrhein-Westfalen,1997690860.0,560300.0,280150.0,"757,6 Mio. €",172.0,2.0
87,Sparkasse Beckum-Wadersloh,Nordrhein-Westfalen,2222107860.0,626000.0,313000.0,"781,1 Mio. €",192.0,2.0
88,Kreissparkasse Höchstadt/Aisch,Bayern,2256961004.0,436000.0,218000.0,"795,2 Mio. €",242.0,2.0
89,Verbundsparkasse Emsdetten-Ochtrup,Nordrhein-Westfalen,2321848530.0,491400.0,245700.0,"792,8 Mio. €",214.0,2.0
90,Sparkasse Salem-Heiligenberg,Baden-Württemberg,2191463890.0,399000.0,199500.0,"825,2 Mio. €",139.0,2.0
92,Sparkasse Osterode am Harz,Niedersachsen,2427848190.0,463000.0,231500.0,"843,8 Mio. €",260.0,2.0
93,Stadtsparkasse Emmerich-Rees,Nordrhein-Westfalen,2184635630.0,499000.0,249500.0,"795,9 Mio. €",209.0,2.0
94,Sparkasse Elmshorn,Schleswig-Holstein,2564513440.0,465000.0,232500.0,"861,2 Mio. €",203.0,2.0
95,Kyffhäusersparkasse Artern-Sondershausen,Thüringen,2327101420.0,443000.0,221500.0,900 Mio. €,224.0,2.0
96,Kreissparkasse Saale-Orla,Thüringen,2323459810.0,452000.0,226000.0,"871,1 Mio. €",261.0,2.0
97,Sparkasse Bühl,Baden-Württemberg,2254564310.0,469000.0,234500.0,"811,8 Mio. €",181.0,2.0
100,Sparkasse Neuburg-Rain,Bayern,2679128282.0,472000.0,236000.0,"916,2 Mio. €",261.0,2.0
101,Sparkasse Olpe-Drolshagen-Wenden,Nordrhein-Westfalen,2196126820.0,559000.0,279500.0,862 Mio. €,200.0,2.0
103,Sparkasse Wittgenstein,Nordrhein-Westfalen,2310342940.0,560000.0,280000.0,"838,8 Mio. €",243.0,2.0
106,Stadtsparkasse Gevelsberg,Nordrhein-Westfalen,2439594080.0,603300.0,301650.0,"910,7 Mio. €",148.0,2.0
107,Sparkasse Hattingen,Nordrhein-Westfalen,2516951710.0,568000.0,284000.0,"906,1 Mio. €",212.0,2.0
110,Kreis- und Stadtsparkasse Wasserburg am Inn,Bayern,2992834452.0,462000.0,231000.0,"981,7 Mio. €",247.0,2.0
111,Kreissparkasse Weilburg,Hessen,2669978700.0,445000.0,222500.0,"964,1 Mio. €",246.0,2.0
114,Sparkasse Altenburger Land,Thüringen,2584887428.0,384000.0,192000.0,"981,7 Mio. €",239.0,2.0
118,Sparkasse Eichstätt,Bayern,2735556994.0,499000.0,249500.0,1 Mrd. €,260.0,2.0
120,Kreissparkasse Nordhausen,Thüringen,2945384540.0,505000.0,252500.0,"1,1 Mrd. €",252.0,2.0
122,Stadtsparkasse Bocholt,Nordrhein-Westfalen,2483140470.0,556000.0,278000.0,"1,1 Mrd. €",237.0,2.0
123,Kreissparkasse St. Wendel,Saarland,3181629470.0,370899.0,185449.5,"1,1 Mrd. €",311.0,2.0
124,Kreissparkasse Gotha,Thüringen,3408697590.0,439000.0,219500.0,"1,2 Mrd. €",278.0,2.0
125,Sparkasse Unstrut-Hainich,Thüringen,2988991840.0,343000.0,171500.0,"1,1 Mrd. €",290.0,2.0
127,Sparkasse Arnstadt-Ilmenau,Thüringen,3119026260.0,418000.0,209000.0,"1,1 Mrd. €",285.0,2.0
128,Kreissparkasse Garmisch-Partenkirchen,Bayern,2855364084.0,481000.0,240500.0,"1,1 Mrd. €",309.0,2.0
129,Kreissparkasse Eichsfeld,Thüringen,3256310599.0,414000.0,207000.0,"1,2 Mrd. €",282.0,2.0
130,Sparkasse Pfaffenhofen,Bayern,3344662206.0,630000.0,252000.0,"1,2 Mrd. €",327.0,2.5
