sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Stadtsparkasse Rahden,32369,Nordrhein-Westfalen,0.1141658502,436 T. €,218.0,218 T. €,"439,1 Mio. €",92,92.0,2
Kreissparkasse Gotha,"99894,99958,99869,99897,99891,99880,99867,99885,99100,99192,99887",Thüringen,0.340869759,439 T. €,219.5,"219,5 T. €","1,2 Mrd. €",278,278.0,2
Kyffhäusersparkasse Artern-Sondershausen,"06567,06577,06571,06578,06556,99713,99718,99706",Thüringen,0.232710142,443 T. €,221.5,"221,5 T. €",900 Mio. €,224,224.0,2
Kreissparkasse Weilburg,"65614,35799,35796,35781,65606,35792,35794,35789",Hessen,0.26699787,445 T. €,222.5,"222,5 T. €","964,1 Mio. €",246,246.0,2
Vereinigte Sparkassen Gunzenhausen,"91734,91801,91732,91720,91735,91639,91710,91723,91719",Bayern,0.1993642064,448 T. €,224.0,224 T. €,"754,1 Mio. €",191,191.0,2
Kreissparkasse Schlüchtern,"63628,36396,36381,36391",Hessen,0.137869321,449 T. €,224.5,"224,5 T. €",495 Mio. €,132,132.0,2
Stadtsparkasse Bad Honnef,53604,Nordrhein-Westfalen,0.13285086,"449,8 T. €",224.9,"224,9 T. €","516,4 Mio. €",118,118.0,2
Kreissparkasse Saale-Orla,"07927,07924,07929,07926,07819,07806,07368,07389,07381,07356,07907,07922,07387,07366,07343",Thüringen,0.232345981,452 T. €,226.0,226 T. €,"871,1 Mio. €",261,261.0,2
Stadtsparkasse Delbrück,33129,Nordrhein-Westfalen,0.0794589147,453 T. €,226.5,"226,5 T. €","296,1 Mio. €",89,89.0,2
Stadt- und Kreissparkasse Moosburg,"85408,85413,85416,85419,85410,85368,84079,85405",Bayern,0.193138035,456 T. €,228.0,228 T. €,"606,1 Mio. €",192,192.0,2
Stadtsparkasse Dessau,"06847,06849,06846,06861,06842,06862,06844",Sachsen-Anhalt,0.19764889,458 T. €,229.0,229 T. €,"723,8 Mio. €",194,194.0,2
Sparkasse Oberpfalz Nord,"95683,95469,95692,95703,95505,95676,95682,95688,95700,95698,95506,95478,95679,95704,95643,95701,95508,95689,95685,95666,95652,95695,92637,95671",Bayern,0.3722874486,462 T. €,231.0,231 T. €,"1,4 Mrd. €",419,419.0,2
Kreis- und Stadtsparkasse Wasserburg am Inn,"83533,83543,83544,84424,85664,83547,83536,83530,83123,83512,83564,83539,83556,83549",Bayern,0.2992834452,462 T. €,231.0,231 T. €,"981,7 Mio. €",247,247.0,2
Sparkasse Elmshorn,"25336,25337,25335",Schleswig-Holstein,0.256451344,465 T. €,232.5,"232,5 T. €","861,2 Mio. €",203,203.0,2
Sparkasse Bühl,"77833,77815,77836,77830,77886,76547",Baden-Württemberg,0.225456431,469 T. €,234.5,"234,5 T. €","811,8 Mio. €",181,181.0,2
Sparkasse Neuburg-Rain,"86643,86701,86684,86673,86669,86692,86633,86666,86694,86676,85123,86641,86697,86668,86706",Bayern,0.2679128282,472 T. €,236.0,236 T. €,"916,2 Mio. €",261,261.0,2
