sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Gera-Greiz,"07937,07980,07586,07552,07557,07554,07549,07546,07987,07973,07589,07548,07551,07950,07580,07570,07957,07958,07955,07545",Thüringen,0.5195283085,740 T. €,246.66666666666666,"246,7 T. €","1,9 Mrd. €",494,494.0,3
Sparkasse Mülheim an der Ruhr,"45472,45481,45476,45468,45473,45475,45470,45478,45479",Nordrhein-Westfalen,0.7265559222,"744,7 T. €",248.21833333333333,"248,2 T. €","2,7 Mrd. €",534,534.0,3
Sparkasse Dachau,"85235,85247,85778,85254,85258,85244,85221,85256,85229,85241,85757,86567,85253,85238,85250,85259,85232",Bayern,0.7157140412,749 T. €,374.5,"374,5 T. €","2,6 Mrd. €",561,561.0,2
Sparkasse Hochrhein,"79682,79736,79774,79807,79787,79801,79771,79798,79804,79733,79809,79793,79713,79737,79802,79664,79725,79790,79761,79730",Baden-Württemberg,0.7838573377,763 T. €,339.11111111111114,"339,1 T. €","2,7 Mrd. €",567,567.0,"2,25"
Sparkasse Berchtesgadener Land,"83454,83451,83395,83364,83487,83317,83416,83483,83486,83471,83410,83404,83457,83435,83458",Bayern,0.4306901371,764 T. €,254.66666666666666,"254,7 T. €","1,5 Mrd. €",394,394.0,3
Sparkasse im Landkreis Neustadt/Aisch - Bad Windsheim,"96152,97215,91477,90619,91619,91593,91438,90599,91484,91448,91472,91462,91469,91459,91443,91456,91413,97258,91486,91481,90616,91474,91463,91489,91613",Bayern,0.52921074163,777 T. €,259.0,259 T. €,"1,8 Mrd. €",457,457.0,3
Kreissparkasse Traunstein-Trostberg,"83376,83417,83334,83342,83362,83308,83313,83278,83373,83246,83377,83301,83352,83250,83132,83339,83355,83259,83224,84529,83242,83349,83324,83358,83413,84549,83368,83370,83361,83371,83374,83119,83236,83379,83367,83346,83329,83365",Bayern,0.5059352992,779 T. €,259.66666666666663,"259,7 T. €",2 Mrd. €,469,469.0,3
Vereinigte Sparkassen im Landkreis Weilheim,"82449,82347,82393,82407,82398,82418,82396,82380,82399,82377,82444,82362,82386",Bayern,0.4630822982,779 T. €,259.66666666666663,"259,7 T. €","1,6 Mrd. €",409,409.0,3
Sparkasse Miltenberg-Obernburg,"63933,63906,63916,63863,97904,63924,63840,63834,63911,63820,63839,97901,63936,63939,97906,63897,63937,63931,63868,63930,63849,63920,97903,63925,63853,63928,97909,63843,63934,63927,63785",Bayern,0.5169550678,780 T. €,260.0,260 T. €,"1,8 Mrd. €",530,530.0,3
Stadt-Sparkasse Solingen,"42697,42699,42653,42651,42659,42655,42719,42657",Nordrhein-Westfalen,0.620420552,781 T. €,390.5,"390,5 T. €","2,2 Mrd. €",630,630.0,2
Kreissparkasse Wiedenbrück,"33442,33758,33449,33378,33415",Nordrhein-Westfalen,0.5728771,784 T. €,392.0,392 T. €,"2,1 Mrd. €",366,366.0,2
OstseeSparkasse Rostock,"18195,18225,18230,18279,18198,18239,18196,18109,18147,17166,18057,18246,17179,18146,18211,18107,18273,18258,18209,18055,18236,18069,17168,18106,18119,18233,18181,18059,18184,18190,18182,18299,18292",Mecklenburg-Vorpommern,0.817627535,792 T. €,396.0,396 T. €,3 Mrd. €,741,741.0,2
Kreis- und Stadtsparkasse Erding - Dorfen,"85659,85456,85457,84416,85469,85465,85464,85445,85462,84405,85399,85452,85435,84435,85467,85447",Bayern,0.5234468213,794 T. €,264.6666666666667,"264,7 T. €","1,9 Mrd. €",421,421.0,3
Sparkasse Baden-Baden Gaggenau,"76571,76530,76532,76476,76534,76456",Baden-Württemberg,0.4865835309,795 T. €,265.0,265 T. €,"1,8 Mrd. €",390,390.0,3
Sparkasse Hildesheim,"31033,31008,31139,31171,31032,31167,31188,31195,31174,31096,38277,31085,31191,31061,31157,31088,31137,31091,31079,38279,31099,38271,31177,31162,31036,31185,31089,31039,31035,31199,31084,38274,31141,31094,31028,31097,31180,31135,31093,31196,31029,31087,31134",Niedersachsen,1.1856920945,805 T. €,268.3333333333333,"268,3 T. €","3,9 Mrd. €",1085,1085.0,3
Kreissparkasse Miesbach-Tegernsee,"83735,83629,83703,83700,83737,83727,83714,83708,83684,83730,83627,83734,83666,83607,83624,83707,83626",Bayern,0.5056710061,806 T. €,268.6666666666667,"268,7 T. €","1,7 Mrd. €",380,380.0,3
Sparkasse Zwickau,"08132,08144,08062,08412,08459,08066,08058,08141,08115,08064,08451,08427,08112,08147,08428,08056,08118,08134,08107,08060",Sachsen,0.7505540274,812 T. €,406.0,406 T. €,"2,6 Mrd. €",514,514.0,2
Sparkasse Langen-Seligenstadt,"63128,63500,63512,63329,63179,63533,63165,63150,63225",Hessen,0.943730212,817 T. €,408.5,"408,5 T. €","3,2 Mrd. €",740,740.0,2
Sparkasse Fulda,"36041,36043,36160,36129,36088,36132,36103,36169,36119,36137,36142,36115,36039,36163,36100,36145,36157,36148,36167,36093,36151,36124,36154,36037,36364",Hessen,1.0106091351,828 T. €,276.0,276 T. €,"3,5 Mrd. €",837,837.0,3
Sparkasse Schweinfurt,"97488,97453,97424,97534,97535,97513,97421,97508,97516,97509,97493,97525,97422,97456,97506,97505,97511,97499,97440,97526,97447,97537,97523,97532,97497,97529,97502,97464,97490,97520,97469",Bayern,0.6983925426300001,833 T. €,277.6666666666667,"277,7 T. €","2,5 Mrd. €",596,596.0,3
Sparkasse Landsberg-Dießen,"86916,86935,86923,86949,86931,86920,86944,86937,86928,86926,86940,86946,86492,82279,86859,86941,86899,86919,86922,86929,86925,86947,86943,86911,86938,82269,86857,86932",Bayern,0.5163655792,856 T. €,285.3333333333333,"285,3 T. €","1,7 Mrd. €",404,404.0,3
Sparkasse Märkisch-Oderland,"16269,15328,15324,15374,15320,15366,15370,15344,15306,15562,15345,16259,15326,15377,15378",Brandenburg,0.375004743,866 T. €,288.6666666666667,"288,7 T. €","1,5 Mrd. €",361,361.0,3
Sparkasse Soest,"59510,59514,59505,59494,59519",Nordrhein-Westfalen,0.410892773,870 T. €,290.0,290 T. €,"1,5 Mrd. €",303,303.0,3
Sparkasse Oberlausitz-Niederschlesien,"02799,02906,02708,02748,02736,02826,02957,02791,02959,02796,02953,02797,02956,02763,02827,02782,02899,02747,02794,02785,02923,02730,02829,02739,02742,02943,02788,02828,02779,02929,02727,02894",Sachsen,0.7931401242,874 T. €,437.0,437 T. €,"2,9 Mrd. €",590,590.0,2
Sparkasse Neumarkt-Parsberg,"92361,92364,90602,92342,92348,92331,92283,92353,92366,92367,92363,92318,92355,92358,92334,92345,92360,92369",Bayern,0.63536780234,876 T. €,292.0,292 T. €,2 Mrd. €,540,540.0,3
Sparkasse Neu-Ulm - Illertissen,"89281,89231,89257,89296,89291,89233,89269,89290,89250,89299,89294,89284,89297,89275,89264,89278,89287,89293",Bayern,0.5516007959,876 T. €,292.0,292 T. €,"1,9 Mrd. €",525,525.0,3
Sparkasse Bad Tölz-Wolfratshausen,"83670,82541,82547,83674,82549,82538,82544,83673,83671,82432,82515,83646,83623,83677,83676,82057,83661,82431,83679",Bayern,0.5946267712,888 T. €,296.0,296 T. €,"2,1 Mrd. €",491,491.0,3
Sparkasse Südholstein,"24635,25488,24598,23820,23795,25370,25479,23818,23845,24628,25371,23816,22851,25355,25421,24619,23815,24539,25495,25492,23812,25486,23827,24649,25482,25462,25364,23823,23829,24568,22844,24537,24558,24534,24536,24626,24638,23867,23824,24632,25494,24576,25497,24623,25491,25474,23826,23866,25365,24629,27498,25469,24610,25451,22869,23821,23863,25489,23719,25499,24641,24640,24643,25485,25436,25373,23813",Schleswig-Holstein,1.4732214494,903 T. €,387.55364806866953,"387,6 T. €",5 Mrd. €,1052,1052.0,"2,33"
Sparkasse Minden-Lübbecke,"32339,32609,32429,32312,32423,32469,32427,32361,32425,32351,32479",Nordrhein-Westfalen,0.692419742,906 T. €,302.0,302 T. €,"2,3 Mrd. €",679,679.0,3
Kreissparkasse Saarlouis,"66839,66780,66798,66359,66822,66763,66787,66806,66809,66773,66802,66793,66740",Saarland,0.9835486722,915 T. €,305.0,305 T. €,"3,6 Mrd. €",769,769.0,3
Vereinigte Sparkassen Stadt- und Landkreis Ansbach,"91586,91590,91731,91629,91746,91632,91567,91622,91522,91575,91725,91726,91617,91599,91589,91572,91555,91722,91717,91598,91580,91625,91604,91623,91564,91560,91737,91578,91749,91595,91611",Bayern,0.82861757729,920 T. €,306.6666666666667,"306,7 T. €","2,9 Mrd. €",708,708.0,3
Sparkasse Schwäbisch Hall Crailsheim,"74429,74523,74545,74541,74423,74544,74405,74547,74420,74585,74542,74532,74427,74424,74564,74549,74579,74592,74589,74582,74538,74586,74595,74599,74575,74426,74572,74535,74597",Baden-Württemberg,0.8254863453,921 T. €,307.0,307 T. €,"3,1 Mrd. €",576,576.0,3
Sparkasse Göttingen,"37075,37133,37079,37130,37083,37077,37081,37073,37085,37124,37120,37136,37139",Niedersachsen,0.762504386,925 T. €,308.3333333333333,"308,3 T. €","2,7 Mrd. €",730,730.0,3
Sparkasse Meißen,"01662,01623,01612,01683,01594,01561,01587,01589,01468,01558,01665,01640,01591,01619,01689,01609,01445,01471,01616",Sachsen,0.6432656662,932 T. €,372.8,"372,8 T. €","2,5 Mrd. €",441,441.0,"2,5"
Sparkasse Vorpommern,"17495,17438,17493,18519,17491,18546,17506,18513,18609,17459,18435,17389,17498,18469,18465,17391,18510,18528,18337,17489,18314,18437,17121,18317,18320,18461,18374,18556,18334,17129,17390,18445,17429,17398,18516,17440,18586,18574,17419,17406,17509,18569,18375,18551,18573,18442,17449,18356,18507,18347,17424,17126,18565,18311,17392,18581,17454,18439",Mecklenburg-Vorpommern,0.8704397805,935 T. €,311.6666666666667,"311,7 T. €","3,2 Mrd. €",770,770.0,3
Sparkasse Marburg-Biedenkopf,"35091,35041,35112,35239,35083,35075,35094,35236,35080,35260,35274,35117,35288,35096,35085,35043,35719,35279,35287,35282,35102,35216,35039,35037,35232",Hessen,0.9536108948,945 T. €,315.0,315 T. €,"3,2 Mrd. €",916,916.0,3
Sparkasse Coburg-Lichtenfels,"96260,96484,96279,96237,96269,96271,96465,96450,96482,96257,96250,96145,96472,96489,96253,96476,96215,96272,96274,96264,96224,96479,96487,96231,96247,96275,96242,96486",Bayern,0.6628985131,950 T. €,316.6666666666667,"316,7 T. €","2,4 Mrd. €",657,657.0,3
Taunus Sparkasse,"61352,61350,61279,65835,61276",Hessen,1.28345,957 T. €,395.4545454545455,"395,5 T. €","4,4 Mrd. €",851,851.0,"2,42"
Sparkasse Aschaffenburg-Alzenau,"63879,63869,63791,63762,63776,63796,63741,63875,63857,63846,63773,63856,63768,63877,63811,63828,63814,63739,63801,63755,63808,63871,63867,63826,63872,63874,63860,63743,63829,63825,63864,63831",Bayern,1.0828795997,962 T. €,320.6666666666667,"320,7 T. €","3,9 Mrd. €",941,941.0,3
Stadtsparkasse Oberhausen,"46149,46145,46045,46147,46047,46117,46119,46049",Nordrhein-Westfalen,0.6465968008,964 T. €,241.00475,241 T. €,"2,4 Mrd. €",589,589.0,4
Sparkasse der Stadt Iserlohn,"58636,58644,58640,58642,58638",Nordrhein-Westfalen,0.431787038,967 T. €,322.3333333333333,"322,3 T. €","1,5 Mrd. €",373,373.0,3
Sparkasse Hamm,"59065,59067,59063,59075,59077,59069,59071,59073",Nordrhein-Westfalen,0.447025237,970 T. €,323.3333333333333,"323,3 T. €","1,7 Mrd. €",376,376.0,3
Sparkasse Regensburg,"93138,93051,93161,93049,93182,93059,93092,93186,93080,93109,93101,93105,93164,93083,93089,93053,93188,84069,93098,93170,93086,93047,93173,93177,93087,93180,93128,93090,93107,93057,93176,93197,93096,93183,93055,93155,93093,93179,93073,93095,93195,93152,93102,93104,93099",Bayern,1.1774737792,973 T. €,324.3333333333333,"324,3 T. €",4 Mrd. €,856,856.0,3
Sparkasse Kraichgau,"75053,75057,76703,76689,76669,76709,74927,74925,75015,74934,76698,75059,74915,76707,74924,74889,76694,74921,76646,74937,74936,74918,75045,76684,74933,74939",Baden-Württemberg,1.0433429887,973 T. €,324.3333333333333,"324,3 T. €","3,9 Mrd. €",768,768.0,3
Sparkasse Amberg-Sulzbach,"92259,92265,92275,92287,92266,91249,92242,92263,92262,92253,92256,92249,92281,92224,92289,92245,92274,92284,92278,92268,92286,92277,92260,92237,92280,92271,92272",Bayern,0.53472634829,978 T. €,326.0,326 T. €,2 Mrd. €,527,527.0,3
Sparkasse Markgräflerland,"79576,79589,79588,79415,79426,79424,79395,79418,79595,79379,79410,79591",Baden-Württemberg,0.614480143,980 T. €,326.6666666666667,"326,7 T. €","2,3 Mrd. €",412,412.0,3
Sparkasse Lüdenscheid,"58553,58507,58849,58513,58509,58511,58579,58515",Nordrhein-Westfalen,0.5310591325,"980,4 T. €",326.8,"326,8 T. €","1,8 Mrd. €",425,425.0,3
Sparkasse Bamberg,"96178,96187,96170,96173,96182,96110,96114,96117,96149,96135,96167,96194,96120,96163,91332,96047,96175,96191,96154,96129,96185,96199,96169,96148,96161,96123,96052,96050,96196,96146,96179,96157,96164,96049,96158,96155,96103,96132,96138",Bayern,0.9256449138,986 T. €,358.5454545454545,"358,5 T. €","3,5 Mrd. €",969,969.0,"2,75"
Kreissparkasse Reutlingen,"72584,72539,72829,72766,72800,72760,72581,72587,72532,72124,72770,72555,72531,72768,72582,72574,72820,72661,72813,72525,72805,72818,72537,72827,72141,88529,72585,72764,72762,72793,72534",Baden-Württemberg,1.2437451261,988 T. €,329.3333333333333,"329,3 T. €","4,7 Mrd. €",1017,1017.0,3
Sparkasse Passau,"94538,94136,94164,94544,94496,94149,94535,94034,94051,94139,94575,94104,94081,94036,94060,94501,94161,94086,94121,94529,94474,94167,94094,94099,94110,94072,94124,94116,94152,94154,94032,94127,94107,94130,94113,94148,94542",Bayern,0.7569454253,989 T. €,329.6666666666667,"329,7 T. €","2,6 Mrd. €",779,779.0,3
Sparkasse Emsland,"49770,49809,49838,49832,26899,48480,49774,26909,26892,26904,26906,49844,49751,26903,49716,26871,48488,26897,49740,49757,26907,49779,49744,49811,49762,49808,49767,49733,26901,48499,49777",Niedersachsen,0.9224059551,990 T. €,330.0,330 T. €,"3,1 Mrd. €",889,889.0,3
Sparkasse Allgäu,"87629,87496,87541,87534,87452,87674,87494,87634,87663,86980,87463,87490,87439,87647,87659,87616,87538,86983,87669,87509,87437,87648,87547,87544,87657,87477,87642,87527,87549,87480,87645,87653,87448,87651,87435,87675,87499,87487,87637,87493,87497,87545,87466,87640,87459,87561,87671,87654,87474,87471,87484,87488,87672",Bayern,1.1836326934,994 T. €,331.3333333333333,"331,3 T. €","4,2 Mrd. €",1079,1079.0,3
Sparkasse Altötting-Mühldorf,"84558,84547,84576,84489,84579,84562,84573,84556,84419,84513,84543,84428,84478,84494,84550,84553,84518,84570,84524,84555,84453,84561,84539,84431,84577,84544,84565,84503,84508,84571,84533,84559,84546,84568,84564,84567,84574",Bayern,0.6815541913,995 T. €,331.6666666666667,"331,7 T. €","2,4 Mrd. €",617,617.0,3
Sparkasse Memmingen-Lindau-Mindelheim,"86833,87727,87746,88149,87766,87757,87761,87772,86842,88145,87760,87758,87779,88131,86879,87782,88171,87773,87743,87734,88142,86854,86825,88178,86874,87781,87719,87739,88167,87770,87733,87776,87742,87787,87724,87778,87736,87785,87700,87749,87730,87763,87740,87754,86865,87769,88161,87764,88175,86498,87789,87755,87737,87748,87745,87784,87775,86871,87767,88179,87751,88138,87752",Bayern,1.0634690214,1 Mio. €,333.6666666666667,"333,7 T. €","3,7 Mrd. €",837,837.0,3
Kreissparkasse Düsseldorf,"42579,40822,42489,40699",Nordrhein-Westfalen,0.7505889963,1 Mio. €,338.5416666666667,"338,5 T. €","2,6 Mrd. €",679,679.0,3
Stadt- und Kreissparkasse Erlangen,"91096,91088,91052,91056,91083,90562,91054,91058,91080,91074",Bayern,1.193458632,1 Mio. €,374.9077490774908,"374,9 T. €","4,2 Mrd. €",918,918.0,"2,71"
Sparkasse am Niederrhein,"46509,47506,47443,47445,47495,47447,47665,47441,46519",Nordrhein-Westfalen,0.8385817628,1 Mio. €,338.7333333333333,"338,7 T. €","3,1 Mrd. €",757,757.0,3
Sparkasse Offenburg/Ortenau,"77977,77740,77948,77770,77955,77728,77889,77876,77971,77975,77656,77746,77799,77749,77743,77652,77883,77855,77966,77960,77887,77933,77654,77978,77974,77794,77972,77767,77880,77704,77871,77963",Baden-Württemberg,1.0996122614,1 Mio. €,341.3333333333333,"341,3 T. €",4 Mrd. €,870,870.0,3
Kreissparkasse Göppingen,"73344,73326,73312,73117,73347,73072,73108,73035,73099,73105,73095,73102,73119,73054,73349,73110,73278,73037,73087,73333,73033,73104,73066,73061,89558,73092,73345,73337,73113,73111,73116,73098,73107,73079,73329,73342,73114,73084,73101",Baden-Württemberg,1.4270521701,1 Mio. €,343.0,343 T. €,"5,1 Mrd. €",1176,1176.0,3
Kreissparkasse Tübingen,"72108,72810,72076,72074,72119,72144,72135,72147,72116,72149,72138,72070,72131,72072,72181,72411,72127,72145",Baden-Württemberg,1.2612693772,1 Mio. €,347.6666666666667,"347,7 T. €","4,8 Mrd. €",985,985.0,3
Sparkasse Fürstenfeldbruck,"82278,82294,82223,82256,82296,82239,82285,82216,82291,82110,82287,82178,82284,82288,82290,82275,82272,82276,82293,82194,82140,82281,82299",Bayern,0.9941456375,1 Mio. €,349.0,349 T. €,"3,3 Mrd. €",812,812.0,3
Kreissparkasse Ostalb,"74417,73565,73433,73434,73466,73499,73547,73569,73572,73495,73486,73577,73557,73479,73463,73453,73467,73568,73491,73441,73540,73485,73571,73469,73430,73431,73457,73488,73525,73489,73566,73497,73527,73575,73579,73447,73574,73529,73492,73550,73494,73460,73560,73450,73563,73432",Baden-Württemberg,1.3022030002,"1,1 Mio. €",352.6666666666667,"352,7 T. €","4,7 Mrd. €",1068,1068.0,3
Sparkasse Rosenheim-Bad Aibling,"83135,83131,83098,83229,83257,83233,83075,83122,83022,83043,83569,83080,83112,83253,83093,83026,83064,83254,83620,83104,83088,83126,83134,83115,83125,83059,83101,83024,83083,83052,83071,83109,83209",Bayern,1.2641738159,"1,1 Mio. €",398.49624060150376,"398,5 T. €","4,5 Mrd. €",974,974.0,"2,66"
Sparkasse Fürth,"90617,90766,90574,90614,90579,90556,90547,90762,90768,90765,90613,90522,90513,90587,90763,91452",Bayern,0.8403634101,"1,1 Mio. €",354.3333333333333,"354,3 T. €",3 Mrd. €,775,775.0,3
Kreissparkasse Heinsberg,"52531,41836,41849,41812,52538,52511,41844,52525",Nordrhein-Westfalen,0.8668226112,"1,1 Mio. €",354.5,"354,5 T. €",3 Mrd. €,702,702.0,3
Sparkasse Hanau,"61138,63549,63526,61130,63452,63457,63454,63486,63538,63546,63543,61137,63517,63505",Hessen,1.2378997089,"1,1 Mio. €",355.6666666666667,"355,7 T. €","4,3 Mrd. €",689,689.0,3
Sparkasse Landshut,"84085,84082,84144,84092,84175,84036,84028,84107,84032,84095,84160,84174,84189,84034,84061,84169,93359,84171,84166,84097,84155,84172,84187,84098,84137,84088,84184,93352,84066,84168,84186,84030,84178,84149,84051,84109,84100,84181,94333,84056,84076,84103",Bayern,0.9522736939,"1,1 Mio. €",360.3333333333333,"360,3 T. €","3,5 Mrd. €",863,863.0,3
Sparkasse Oder-Spree,"15859,15295,15299,15234,15537,15848,15890,15526,15898,15518,15566,15517,15864,15569,15236,15528,15230,15232",Brandenburg,0.7448915,"1,1 Mio. €",372.60273972602744,"372,6 T. €","2,5 Mrd. €",524,524.0,"2,92"
Sparkasse Düren,"52351,52355,52459,52428,52382,52372,52353,52391,52379,52385,52396,52349,52399,52441,52393,52457,52445,52388",Nordrhein-Westfalen,0.9541624384,"1,1 Mio. €",364.3333333333333,"364,3 T. €","3,4 Mrd. €",813,813.0,3
Sparkasse Mittelfranken-Süd,"91757,91807,91792,91154,91790,91183,91796,90596,91126,90530,91180,91798,90584,91785,91189,91793,91161,91166,91781,91186,91799,91788,91187,91177,91174,91171",Bayern,0.9208546425,"1,1 Mio. €",364.6666666666667,"364,7 T. €","3,5 Mrd. €",923,923.0,3
Kreissparkasse Augsburg,"86486,86830,86853,86517,86863,86877,86679,86678,86500,86424,86845,86672,86514,86497,86866,86707,86494,86465,86872,86836,86420,86405,86356,86850,86456,86391,86477,86482,86507,86343,86856,86399,86485,86695,86459,86450,86368,86868,86441,86462",Bayern,0.8779722134,"1,1 Mio. €",364.6666666666667,"364,7 T. €","3,2 Mrd. €",688,688.0,3
Sparkasse Hagen,"58097,58095,58091,58119,58089,58099,58093,58135",Nordrhein-Westfalen,0.7041618107,"1,1 Mio. €",364.6666666666667,"364,7 T. €","2,5 Mrd. €",538,538.0,3
Sparkasse Ulm,"89129,89155,89584,89150,89195,89182,89179,89174,89180,89077,72589,89143,89189,73340,89605,89079,89611,89608,89183,89601,89610,89597,89192,89186,89160,89197,89617,89604,89607,72535,89075,89073,89081,89613,89616,89185,89188,88481,89134,89165,89619,89177,89198,89176,89614,89173,89194,89191,89171",Baden-Württemberg,1.6145199062,"1,1 Mio. €",366.0,366 T. €,"5,6 Mrd. €",1264,1264.0,3
Sparkasse Mittelthüringen,"99510,99518,99428,99092,99102,99084,99427,99090,99439,99628,99087,99425,99625,99097,99098,99448,99096,99095,99444,99634,99438,99631,99086,99610,99189,99091,99089,99085,99441,99195,99094,99198,99636,99423,99099,99638",Thüringen,1.11390394,"1,1 Mio. €",366.3333333333333,"366,3 T. €","3,9 Mrd. €",893,893.0,3
Sparkasse Oberhessen,"36323,61239,36320,61231,61200,36369,63691,35325,35315,63667,63679,61206,36329,63683,61194,63695,61197,63654,36355,61169,36367,36399,63688,61203,36358,35510,36110,36318,36304,63694,36341,61184,35519,61209,36326,35327,36325,35329,35516,63697,63699,63674,61191",Hessen,1.2895025455,"1,1 Mio. €",368.6666666666667,"368,7 T. €","4,4 Mrd. €",1042,1042.0,3
Sparkasse Niederbayern-Mitte,"94419,94336,94371,94553,84163,84152,94437,94377,94379,94344,84180,94353,94363,94369,94327,94347,94368,94431,84183,94356,94522,94348,94372,94350,94375,94342,94351,94345,94559,94365,94374,94405,84130,94315,94366,84177,94360,94428,94357,94354,94339,94330,94505,84164,94359,94362",Bayern,1.0207118769,"1,1 Mio. €",368.6666666666667,"368,7 T. €","3,8 Mrd. €",827,827.0,3
Sparkasse Bodensee,"88069,78467,88709,88719,88718,78462,78465,88097,88079,88094,88662,78354,88085,78464,88074,88046,88045,88048,88099,88696,88677",Baden-Württemberg,1.1566752083,"1,1 Mio. €",372.6666666666667,"372,7 T. €","4,1 Mrd. €",901,901.0,3
Sparkasse Ingolstadt,"85134,85053,85098,85129,85092,85139,85055,85051,85117,85104,85057,85084,85077,85101,85107,85120,85049,85080",Bayern,1.1637384427,"1,1 Mio. €",375.6666666666667,"375,7 T. €","3,8 Mrd. €",787,787.0,3
Sparkasse Westholstein,"25591,25348,25597,25588,25704,25709,24616,25551,25379,25715,25582,25724,25725,25785,25579,25712,25576,25524,25548,25761,25541,25575,25573,25721,25693,25719,25566,25584,25578,25563,25727,25729,25767,25569,25554,25560,25593,25587,25368,25599,25376,25358,25770,25718,25361,25377",Schleswig-Holstein,0.9099278694,"1,1 Mio. €",378.0,378 T. €,"3,3 Mrd. €",708,708.0,3
Sparkasse Hochfranken,"95239,95152,95199,95176,95182,95236,95100,95126,95188,95183,95179,95131,95707,95194,95173,95028,95189,95234,95659,95030,95709,95191,95213,95145,95197,95195,95163,95697,95192,95185,95180,95168,95158,95691,95111,95482,95119,95237,95186,95632,95032,95615,95138,95233,95706,95680",Bayern,1.0054431434,"1,1 Mio. €",381.3333333333333,"381,3 T. €","3,5 Mrd. €",940,940.0,3
Kreissparkasse Groß-Gerau,"65479,65462,64579,64560,64584,64569,64572,65428,64521,65474,64589,64546,65468,65451",Hessen,0.7732305998,"1,2 Mio. €",385.0,385 T. €,"2,7 Mrd. €",686,686.0,3
Sparkasse Vogtland,"08538,08523,08267,08239,08236,08223,08499,08527,08258,08541,08543,08525,07952,08547,08645,08261,08248,08237,08548,08485,08228,08262,07919,08529,08233,08496,08648,08491,07985,08468,08626,08539,08606,08209",Sachsen,0.8440424112,"1,2 Mio. €",392.0,392 T. €,3 Mrd. €,598,598.0,3
Sparkasse Saarbrücken,"66133,66352,66125,66126,66127,66265,66115,66271,66123,66119,66129,66131,66299,66128,66132,66287,66117,66113,66121,66292,66280,66130,66111,66346",Saarland,1.7576742084,"1,2 Mio. €",299.5,"299,5 T. €","6,8 Mrd. €",1283,1283.0,4
Sparkasse Lemgo,"33813,32107,32694,32105,32657,32699,32689,32108,33818",Nordrhein-Westfalen,0.772104865,"1,2 Mio. €",403.6666666666667,"403,7 T. €","2,8 Mrd. €",630,630.0,3
Kasseler Sparkasse,"34117,34121,34260,34131,34329,34253,34298,34314,34466,34359,34369,34130,34246,34225,34134,34128,34388,34270,34119,34132,34396,34479,34289,34308,34385,34292,34127,34317,34311,34277,34266,34123,34320,34233,34399,34125",Hessen,1.4430817296,"1,2 Mio. €",310.0,310 T. €,"5,2 Mrd. €",1170,1170.0,4
Stadtsparkasse Augsburg,"86495,86504,86316,86169,86438,86415,86157,86152,86167,86153,86199,86511,86165,86154,86163,82297,86150,86161,86453,86179,86510,86159,86156",Bayern,1.5659339028,"1,2 Mio. €",416.0,416 T. €,"5,4 Mrd. €",1343,1343.0,3
Sparkasse Worms-Alzey-Ried,"68647,67595,67582,55234,55597,55578,55232,68649,55286,55239,67593,67592,55599,55291,67578,67577,67550,55288,67580,67575,68642,55237,67547,68623,67598,67551,67596,67590,67574,67591,67599,67549",Rheinland-Pfalz,0.7816195838,"1,3 Mio. €",418.6666666666667,"418,7 T. €","2,9 Mrd. €",613,613.0,3
Stadt- und Kreissparkasse Darmstadt,"64331,64397,64289,64285,64283,64319,64372,64347,64367,64390,64287,64293,64297,64295,64665,64404,64291,64342",Hessen,1.2553698216,"1,3 Mio. €",422.3333333333333,"422,3 T. €","4,1 Mrd. €",856,856.0,3
Sparkasse Siegen,"57223,57080,57076,57078,57250,57258,57074,57072,57234",Nordrhein-Westfalen,0.8882343577,"1,3 Mio. €",422.3333333333333,"422,3 T. €","3,1 Mrd. €",796,796.0,3
Sparkasse Hilden Ratingen Velbert,"42553,42551,42555,40885,40723,40882,40880,40883,40878,40721,42549,40724",Nordrhein-Westfalen,0.9136011831,"1,3 Mio. €",422.7,"422,7 T. €","3,3 Mrd. €",789,789.0,3
Sparkasse Herford,"32257,32049,32052,32130,32278,32602,32051,32120,32139,32289,32584",Nordrhein-Westfalen,1.2972289557,"1,3 Mio. €",423.3333333333333,"423,3 T. €","4,4 Mrd. €",1089,1089.0,3
Sparkasse Leverkusen,"51379,51377,51381,51373,51371,51375",Nordrhein-Westfalen,0.8448484042,"1,3 Mio. €",428.7666666666667,"428,8 T. €","3,1 Mrd. €",619,619.0,3
Kreissparkasse Steinfurt,"48496,49549,48356,48612,49477,49545,48366,48565,48341,48477,48629,49504,49509,48485,48369,49479,49492,49536,49497,48493,48268",Nordrhein-Westfalen,0.9399790296,"1,3 Mio. €",334.0,334 T. €,"3,4 Mrd. €",910,910.0,4
Sparkasse Bielefeld,"33617,33699,33619,33739,33602,33605,33609,33611,33719,33689,33649,33604,33615,33607,33613,33647,33659,33729",Nordrhein-Westfalen,1.6429114882,"1,3 Mio. €",445.6666666666667,"445,7 T. €","5,8 Mrd. €",1430,1430.0,3
